knee-osteoarthritis-frailty-staying-steady-home-uk|Knee osteoarthritis and frailty: staying steady at home (UK)|Exercise|knee osteoarthritis|knees|home|England|indoor walking and sit-to-stand when knees hurt|falls,strength,home,oa
hip-osteoarthritis-frailty-chair-rise-uk|Hip osteoarthritis and frailty: getting out of a chair more safely (UK)|Exercise|hip osteoarthritis|hips|home|England|chair-rise and stride length when hips are stiff|falls,strength,home,oa
hand-osteoarthritis-frailty-dressing-cooking-uk|Hand osteoarthritis and frailty: dressing, cooking and grip (UK)|Lifestyle|hand osteoarthritis|hands|home|Wales|grip, jars and clothing when hands are sore|ot,home,oa,nutrition
spinal-osteoarthritis-frailty-standing-pacing-uk|Spinal osteoarthritis and frailty: standing tall without overdoing it (UK)|Exercise|spinal osteoarthritis|spine|home|Scotland|pacing standing tasks when the back is stiff|pacing,strength,oa,home
shoulder-osteoarthritis-frailty-washing-dressing-uk|Shoulder osteoarthritis and frailty: reaching, washing and dressing (UK)|Lifestyle|shoulder osteoarthritis|shoulders|home|Northern Ireland|overhead reach and personal care with a stiff shoulder|ot,home,oa
foot-ankle-osteoarthritis-frailty-indoor-walking-uk|Foot and ankle osteoarthritis and frailty: safer indoor walking (UK)|Exercise|foot and ankle osteoarthritis|feet|home|England|indoor walking when feet and ankles ache|falls,footcare,oa,aids
neck-osteoarthritis-frailty-balance-looking-down-uk|Neck osteoarthritis and frailty: looking down, dizziness and balance (UK)|Health|neck osteoarthritis|neck|home|Wales|balance when looking down at steps or a kettle|falls,vision,oa
thumb-base-osteoarthritis-frailty-daily-grip-uk|Thumb-base osteoarthritis and frailty: jars, taps and daily grip (UK)|Lifestyle|thumb-base osteoarthritis|thumbs|home|Scotland|opening packaging when thumb-base joints hurt|ot,home,oa
wrist-osteoarthritis-frailty-walking-aids-uk|Wrist osteoarthritis and frailty: choosing a walking aid that does not hurt (UK)|Lifestyle|wrist osteoarthritis|wrists|home|Northern Ireland|walking aids when wrists cannot take a hard grip|aids,ot,oa,falls
elbow-osteoarthritis-frailty-kitchen-tasks-uk|Elbow osteoarthritis and frailty: kitchen tasks without a flare spiral (UK)|Lifestyle|elbow osteoarthritis|elbows|home|England|kitchen reaching and lifting with painful elbows|ot,home,oa,nutrition
big-toe-osteoarthritis-frailty-shoes-balance-uk|Big-toe osteoarthritis and frailty: shoes, push-off and balance (UK)|Lifestyle|big-toe osteoarthritis|feet|home|Wales|footwear and push-off when the big toe is stiff|footcare,falls,oa,aids
polyarticular-oa-frailty-pacing-several-joints-uk|Polyarticular osteoarthritis and frailty: pacing several painful joints (UK)|Lifestyle|polyarticular osteoarthritis|several joints|home|Scotland|pacing a whole-body osteoarthritis day|pacing,fatigue,oa,home
hip-and-knee-oa-frailty-transfers-uk|Hip and knee osteoarthritis together: frailty-friendly transfers (UK)|Exercise|hip and knee osteoarthritis|hips and knees|home|Northern Ireland|bed, chair and toilet transfers with two sore joints|falls,ot,oa,strength
midfoot-osteoarthritis-frailty-standing-time-uk|Midfoot osteoarthritis and frailty: standing time in the kitchen (UK)|Lifestyle|midfoot osteoarthritis|feet|home|England|perching and standing when the midfoot aches|footcare,ot,oa,home
knee-oa-frailty-stairs-banisters-uk|Knee osteoarthritis and frailty: stairs, banisters and rest stops (UK)|Exercise|knee osteoarthritis|knees|home|Wales|stair strategy when knees and confidence are both low|falls,home,oa,aids
hip-oa-frailty-getting-into-car-uk|Hip osteoarthritis and frailty: getting into a car without a jolt (UK)|Lifestyle|hip osteoarthritis|hips|home|Scotland|car transfers when hips are stiff and muscles are weak|ot,aids,oa,falls
