orphan_slug,target_article_slug,recommended_anchor_text,rationale
"arthritis-exercises-uk-clinical","swimming-for-arthritis-uk","read our guide to clinically recommended arthritis exercises","Both cover exercise and pain and work; readers of ""Swimming for Arthritis"" are the natural audience for this page."
"arthritis-exercises-uk-clinical","arthritis-treatment-hub","more on clinically recommended arthritis exercises","Both cover exercise and pain and work; readers of ""Arthritis Treatment"" are the natural audience for this page."
"arthritis-exercises-uk-clinical","knee-arthritis-exercises-uk","clinically recommended arthritis exercises","Both cover exercise and pain; readers of ""Best Exercises for Knee Arthritis"" are the natural audience for this page."
"arthritis-exercises-uk-clinical","flying-with-arthritis-uk-airports","how clinically recommended arthritis exercises can help","Both cover exercise and pain; readers of ""Flying with Arthritis"" are the natural audience for this page."
"knee-arthritis-exercises-uk","swimming-for-arthritis","read our guide to best exercises for knee arthritis","Both cover exercise and pain and daily living; readers of ""Swimming for Arthritis"" are the natural audience for this page."
"knee-arthritis-exercises-uk","shoulder-arthritis-exercises-uk","more on best exercises for knee arthritis","Both cover exercise and pain and daily living; readers of ""Shoulder Arthritis Exercises"" are the natural audience for this page."
"knee-arthritis-exercises-uk","exercise-for-hip-arthritis","best exercises for knee arthritis","Both cover exercise and pain and daily living; readers of ""Best Exercises for Hip Arthritis"" are the natural audience for this page."
"knee-arthritis-exercises-uk","arthritis-pain-management","how best exercises for knee arthritis can help","Both cover exercise and pain and daily living; readers of ""Arthritis Pain Management"" are the natural audience for this page."
"arthritis-and-pets-uk","anxiety-arthritis-uk-guide","read our guide to arthritis and pet ownership","Both cover work and daily living; readers of ""Managing Anxiety When You Have Arthritis"" are the natural audience for this page."
"arthritis-and-pets-uk","medication-management-travel-arthritis","more on arthritis and pet ownership","Both cover work and daily living; readers of ""Travelling Abroad With Arthritis Medication"" are the natural audience for this page."
"arthritis-and-pets-uk","arthritis-exercises-uk-clinical","arthritis and pet ownership","Both cover work; readers of ""Clinically recommended Arthritis Exercises"" are the natural audience for this page."
"arthritis-and-pets-uk","pip-for-arthritis-uk","how arthritis and pet ownership can help","Both cover work and daily living; readers of ""PIP for Arthritis"" are the natural audience for this page."
"arthritis-and-gardening-uk","arthritis-exercises-uk-clinical","read our guide to gardening with arthritis","Both cover pain; readers of ""Clinically recommended Arthritis Exercises"" are the natural audience for this page."
"arthritis-and-gardening-uk","knee-arthritis-exercises-uk","more on gardening with arthritis","Both cover pain; readers of ""Best Exercises for Knee Arthritis"" are the natural audience for this page."
"arthritis-and-gardening-uk","yoga-for-arthritis-beginners","gardening with arthritis","Both cover pain; readers of ""Yoga for Arthritis Beginners"" are the natural audience for this page."
"arthritis-and-gardening-uk","foods-to-avoid-with-arthritis","how gardening with arthritis can help","Both cover pain; readers of ""Foods to Avoid With Arthritis"" are the natural audience for this page."
"managing-arthritis-at-work","arthritis-treatment-hub","read our guide to managing arthritis at work","Both cover exercise and work and older adults; readers of ""Arthritis Treatment"" are the natural audience for this page."
"managing-arthritis-at-work","arthritis-exercises-uk-clinical","more on managing arthritis at work","Both cover exercise and work; readers of ""Clinically recommended Arthritis Exercises"" are the natural audience for this page."
"managing-arthritis-at-work","hydrotherapy-pools-uk","managing arthritis at work","Both cover exercise and work; readers of ""Hydrotherapy Pools Near You"" are the natural audience for this page."
