"url","page_type","title","h1","meta_description","canonical","indexability","author","reviewer","date","category","primary_keyword","secondary_keywords","parent_page","child_pages","status","redirect_target"
"https://livingwitharthritis.org.uk/","home","Living With Arthritis UK — Free Physio, Exercises & Diet","Evidence-based arthritis support and health guides for the UK","Free virtual physiotherapy, NICE-aligned exercises, anti-inflammatory nutrition and arthritis support.","https://livingwitharthritis.org.uk/","indexable","","","","","","","","/about|/accessibility|/accessibility-for-ai|/advocacy|/ai|/ai-citations|/ai-guidelines|/arthritis-flare-ups|/arthritis-mental-health|/arthritis-support|/arthritis-waiting-list-help|/blog|/blog-hub|/buddy|/chat|/community|/complaints|/connect|/contact|/cookies|/corporate-giving|/corporate-partnerships|/credits|/de|/diet|/donate|/editorial-standards|/es|/events|/exercises|/expert-articles|/faq|/fr|/gallery|/glossary|/governance|/health-tools|/helpline|/impact|/library|/living-with-arthritis|/partners|/pedometer|/pets|/podcasts|/press|/privacy|/pt|/research|/resources-directory|/safeguarding|/self-assessment|/self-help|/services|/shop|/sources|/stories|/supplements|/symptom-checker|/terms|/trust|/volunteer|/ways-to-help|/zakat-appeal","indexable",""
"https://livingwitharthritis.org.uk/es","es","Apoyo basado en evidencia para la artritis — para todos","Apoyo basado en evidencia para la artritis — para todos","Guías, ejercicios y contenido clínico gratuito revisado por un fisioterapeuta colegiado HCPC.","https://livingwitharthritis.org.uk/es","indexable","","","","","","","/","","indexable",""
"https://livingwitharthritis.org.uk/fr","fr","Un soutien fondé sur des preuves pour l'arthrite — pour tous","Un soutien fondé sur des preuves pour l'arthrite — pour tous","Guides, exercices et contenu clinique gratuits, validés par un kinésithérapeute agréé HCPC.","https://livingwitharthritis.org.uk/fr","indexable","","","","","","","/","","indexable",""
"https://livingwitharthritis.org.uk/de","de","Evidenzbasierte Unterstützung bei Arthritis — für alle","Evidenzbasierte Unterstützung bei Arthritis — für alle","Kostenlose Anleitungen, Übungen und klinische Inhalte, geprüft von einem HCPC-registrierten Physiotherapeuten.","https://livingwitharthritis.org.uk/de","indexable","","","","","","","/","","indexable",""
"https://livingwitharthritis.org.uk/pt","pt","Apoio baseado em evidências para a artrite — para todos","Apoio baseado em evidências para a artrite — para todos","Guias, exercícios e conteúdo clínico gratuitos, revistos por um fisioterapeuta registado pela HCPC.","https://livingwitharthritis.org.uk/pt","indexable","","","","","","","/","","indexable",""
"https://livingwitharthritis.org.uk/es/conditions/osteoarthritis","es","Artrosis (Osteoartritis)","Artrosis (Osteoartritis)","La artrosis es la forma más común de artritis: una enfermedad degenerativa en la que el cartílago articular se desgasta con el tiempo, causando dolor, rigi","https://livingwitharthritis.org.uk/es/conditions/osteoarthritis","indexable","","","","","","","/es","","indexable",""
"https://livingwitharthritis.org.uk/fr/conditions/osteoarthritis","fr","Arthrose","Arthrose","L'arthrose est la forme la plus fréquente d'arthrite : une maladie dégénérative dans laquelle le cartilage articulaire s'use, provoquant douleur, raideur e","https://livingwitharthritis.org.uk/fr/conditions/osteoarthritis","indexable","","","","","","","/fr","","indexable",""
"https://livingwitharthritis.org.uk/de/conditions/osteoarthritis","de","Arthrose (Osteoarthritis)","Arthrose (Osteoarthritis)","Arthrose ist die häufigste Form der Arthritis — eine Verschleißerkrankung, bei der sich der Gelenkknorpel mit der Zeit abbaut und Schmerzen, Steifheit und","https://livingwitharthritis.org.uk/de/conditions/osteoarthritis","indexable","","","","","","","/de","","indexable",""
"https://livingwitharthritis.org.uk/pt/conditions/osteoarthritis","pt","Osteoartrite","Osteoartrite","A osteoartrite é a forma mais comum de artrite — uma doença degenerativa em que a cartilagem articular se desgasta ao longo do tempo, causando dor, rigidez","https://livingwitharthritis.org.uk/pt/conditions/osteoarthritis","indexable","","","","","","","/pt","","indexable",""
"https://livingwitharthritis.org.uk/chat","chat","Arthritis Help & Support Chat | Living With Arthritis UK","Help & Support","Free arthritis help & support: chat on WhatsApp, call 07760 512 084, or ask our online help chat for guidance and information.","https://livingwitharthritis.org.uk/chat","indexable","","","","","arthritis chat UK","virtual physiotherapy|arthritis help|joint pain advice UK|arthritis support|arthritis questions","/","","indexable",""
