bone-clinic-arthritis-frailty-uk|Bone clinics, arthritis and frailty (UK)|Health|osteoarthritis with osteoporosis|spine and hips|hospital|Wales|DEXA days and falls questions in one place|bone,falls,hospital,oa
pain-clinic-older-frail-arthritis-uk|Pain clinics for older frail adults with arthritis (UK)|Treatment|arthritis with frailty|several joints|hospital|Scotland|pain programmes that still respect frailty|treatment,pacing,mood,oa
injections-knee-frail-adults-uk|Knee injections in frail adults: questions worth asking (UK)|Treatment|knee osteoarthritis|knees|hospital|Northern Ireland|injections as a window for movement, not a cure|treatment,oa,exercise,hospital
joint-replacement-decision-frailty-uk|Joint replacement decisions when frailty is already present (UK)|Treatment|osteoarthritis|hips or knees|GP surgery|England|surgery talks that include stamina, home and recovery|treatment,hospital,oa,cga
anaesthetic-risk-arthritis-frailty-uk|Anaesthetic conversations for frail adults with arthritis (UK)|Treatment|arthritis with frailty|several joints|hospital|Wales|pre-op assessment in plain English|hospital,cga,treatment,oa
prehabilitation-frail-arthritis-before-surgery-uk|Prehabilitation for frail adults with arthritis facing surgery (UK)|Exercise|arthritis with frailty|hips and knees|home|Scotland|getting a little stronger before an operation|strength,hospital,oa,nutrition
post-op-constipation-arthritis-frailty-uk|Post-operative constipation, arthritis and frailty (UK)|Health|arthritis with frailty|several joints|home after discharge|Northern Ireland|bowels after hospital that can stall walking|hospital,continence,polypharmacy,oa
wound-care-reaching-arthritis-frailty-uk|Wound care you cannot reach: arthritis and frailty (UK)|Health|arthritis with frailty|shoulders and hands|home|England|dressings when shoulders will not allow it|ot,hospital,home,oa
compression-stockings-hand-oa-frailty-uk|Compression stockings when hand osteoarthritis is severe (UK)|Lifestyle|hand osteoarthritis|hands|home|Wales|hosiery you cannot pull on alone|ot,home,oa,carers
swelling-legs-arthritis-frailty-uk|Leg swelling, arthritis and frailty (UK)|Health|arthritis with frailty|knees and ankles|home|Scotland|when swelling is joints, when it is something else|cga,oa,falls,nhs
lymphoedema-arthritis-frailty-uk|Lymphoedema, arthritis and frailty: heavy limbs (UK)|Health|arthritis with frailty|legs|home|Northern Ireland|heavy legs that change walking and skin|footcare,aids,oa,pacing
sleep-apnoea-arthritis-frailty-uk|Sleep apnoea, arthritis and daytime frailty (UK)|Health|arthritis with frailty|several joints|home|England|unrefreshing sleep on top of joint pain|sleep,fatigue,oa,mood
restless-nights-joint-pain-frailty-uk|Restless nights, joint pain and next-day frailty (UK)|Mental Health|arthritis with frailty|several joints|home|Wales|broken sleep as a falls risk the next morning|sleep,falls,oa,fatigue
naps-versus-inactivity-arthritis-frailty-uk|Naps versus inactivity in arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|Scotland|rest that restores, rest that shrinks muscle|pacing,sleep,strength,oa
morning-stiffness-frailty-routine-uk|Morning stiffness and frailty: a slower start that still starts (UK)|Lifestyle|arthritis with frailty|several joints|home|Northern Ireland|the first hour without skipping breakfast or tablets|pacing,oa,home,nutrition
evening-routine-arthritis-frailty-uk|Evening routines for arthritis and frailty (UK)|Lifestyle|arthritis with frailty|several joints|home|England|setting up night so the morning is less of a cliff|sleep,home,oa,falls
weekend-plan-arthritis-frailty-uk|Weekend plans when arthritis and frailty make days uneven (UK)|Lifestyle|arthritis with frailty|several joints|home|Wales|Saturday without using the whole week's energy|pacing,fatigue,oa,social
