url,old_state,new_state,action,reason,keyword_target,redirect_status,internal_links_added
sitewide,Up to 964 prerendered routes were allowed to carry homepage metadata,Zero generic titles/descriptions/social metadata in the release build,Replaced timer snapshots with route readiness and set regression threshold to zero,Prevent duplicate and homepage-fallback indexing,All canonical topics,n/a,No
/,Canonical could be overwritten by /regions/northern-ireland,Self-canonical root output,Removed invalid routes that navigated over the prerender root,Protect homepage identity,arthritis support UK,n/a,Corrected static fallback links
/blog/knee-arthritis-exercises-uk,Homepage HTML to non-JS clients and several unsupported numeric claims,Dedicated prerendered guide with unique H1/title/canonical plus NHS/NICE sources,Rebuilt the consolidation destination and removed unsupported numeric promises,Consolidate the highest-priority knee exercise intent,knee arthritis exercises,destination,Added condition diet supplement and living-well links
/blog/knee-osteoarthritis-exercises,HTTP 200 homepage shell then client navigation,Excluded from sitemap and documented for a future edge 301,Retained client replacement while documenting required server redirect,Owner-approved knee intent consolidation,knee osteoarthritis exercises,client-side-replace pending 301,Destination only
/blog/knee-exercises-arthritis,HTTP 200 homepage shell then client navigation,Excluded from sitemap and documented for a future edge 301,Retained client replacement while documenting required server redirect,Owner-approved knee intent consolidation,knee exercises for arthritis,client-side-replace pending 301,Destination only
/blog/anti-inflammatory-diet,Homepage fallback HTML to non-JS clients,Dedicated article H1/title/description/self-canonical in prerender,Fixed route inventory backend fallback and readiness,Restore intended article delivery,anti-inflammatory diet for arthritis,n/a,Existing related-content system retained
/blog/ginger-root-natural-anti-inflammatory,Homepage fallback HTML to non-JS clients,Dedicated article H1/title/description/self-canonical in prerender,Fixed route inventory backend fallback and readiness,Restore intended article delivery,ginger anti-inflammatory arthritis,n/a,Existing related-content system retained
/blog/arthritis-pain-management,Homepage fallback HTML to non-JS clients,Dedicated article H1/title/description/self-canonical in prerender,Fixed route inventory backend fallback and readiness,Restore intended article delivery,arthritis pain management,n/a,Existing related-content system retained
/blog/arthritis-and-cycling-uk,Ranking URL was silently client-redirected and excluded from sitemap,Retained as a canonical indexable article,Removed unsafe redirect mapping and restored discovery,Protect supplied page-one Search Console opportunity,cycling with arthritis,retained,Existing links now resolve to this URL
/conditions/osteoarthritis,Ranking hub contained unsupported decorative percentages,Protected URL with safer answer-first treatment summary and NHS/NICE sources,Removed unsupported charts and retained hub/internal-link architecture,Protect a high-value treatment ranking,osteoarthritis treatment,n/a,Links to knee hip hand exercise medication surgery diet and support
/conditions/gout,Ranking page included prescriptive acute-treatment advice without a source box,Safer GP-led guidance plus NHS and NICE gout sources,Reworded acute advice and added reusable condition sources,Protect ranking while improving YMYL safety,gout treatment,n/a,Existing febuxostat diet and exercise links retained
/guides/fall-prevention-older-adults,Striking-distance page used unsupported percentage and universal service claims,Safer fall response and referral language with NHS/NICE sources,Reworked answer/FAQ safety language and added sources,Improve trust without changing URL,fall prevention older adults,n/a,Links to frailty osteoporosis tai chi and living-with-arthritis
/supplements/glucosamine,Exact dose/benefit directives and no visible authoritative sources,NICE-aligned uncertainty and interaction advice with NHS/NICE sources,Removed promotional certainty and added safety references,Healthcare supplement safety and search intent,glucosamine arthritis,n/a,Links to osteoarthritis diet and related supplements retained
/blog/category/exercise,Generic blog metadata and incomplete category variants,Unique canonical category metadata and alias-backed article set,Consolidated database category labels,Prevent category duplication and empty hubs,arthritis exercise articles,n/a,Category article list
/blog/category/nutrition,Generic blog metadata and incomplete category variants,Unique canonical category metadata and alias-backed article set,Consolidated Nutrition and Diet labels,Prevent category duplication and empty hubs,arthritis nutrition,n/a,Category article list
/blog/category/lifestyle,Generic blog metadata and incomplete category variants,Unique canonical category metadata and alias-backed article set,Consolidated lifestyle-related database labels,Prevent category duplication and empty hubs,living with arthritis,n/a,Category article list
/blog/category/health,Generic blog metadata and incomplete category variants,Unique canonical category metadata and alias-backed article set,Consolidated health/symptom/condition labels,Prevent category duplication and empty hubs,arthritis health,n/a,Category article list
/blog/category/mental-health,Generic blog metadata,Unique canonical category metadata and article set,Made BlogCategory own metadata,Prevent duplicate category titles,arthritis mental health,n/a,Category article list
/blog/category/supplements,Generic blog metadata,Unique canonical category metadata and article set,Made BlogCategory own metadata,Prevent duplicate category titles,arthritis supplements,n/a,Category article list
/blog/category/treatment,Generic blog metadata and several treatment variants,Unique canonical category metadata and alias-backed article set,Consolidated Treatment/Treatments/Treatment Guides/Surgery labels,Prevent duplicate category titles,arthritis treatment,n/a,Category article list
/blog/category/frailty,Generic blog metadata and prevention variants,Unique canonical category metadata and alias-backed article set,Consolidated frailty and prevention labels,Prevent duplicate category titles,frailty prevention,n/a,Category article list
/glossary/dactylitis,Inventory parser reported a missing apostrophe-led description,Description correctly parsed and retained,Fixed quoted attribute parsing and glossary fallback,Complete metadata inventory,dactylitis,n/a,Existing related glossary terms
/regions/england,Invalid route could overwrite root prerender,Removed from prerender and static links,Stopped invalid navigation from becoming build output,Prevent soft 404/root collision,arthritis support England,not indexed,Links now point to North West and Midlands hubs
/regions/northern-ireland,Invalid route could overwrite root prerender,Removed from prerender and static links,Stopped invalid navigation from becoming build output,Prevent soft 404/root collision,arthritis support Northern Ireland,not indexed,Static link now points to Belfast support
/arthritis-support/oswestry,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/shrewsbury,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/milton-keynes,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/bradford,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/bolton,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/stockport,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
/arthritis-support/blackburn,Unsupported city URL in sitemap,Removed from sitemap/prerender inventory,Filtered generated city routes against real city data,Remove discovery of a soft 404,n/a,not indexed,No
